A BAD QUARTER OF AN HOUR;несколько неприятных минут
A BIRD'S EYE VIEW;"вид с птичьего полета;2.перспектива"
A BUNK;Take a bunk - уйти, исчезнуть
A CASE IN POINT IS;пример этого
A CLINGING VINE;слабая женщина, зависящая от мужчины
A COAL OIL JOHNNY;мот, транжира
A DAB HAND AT SOMETHING;эксперт в чем-либо
A DAMP SQUIB;что-либо что должно было стать интересным, эффективным, но полностью провалилось
A DARBY AND JOAN;пример верной, счастливой супружеской пары пожилых людей
A DEAD RINGER FOR;точная копия (кого-то, чего-то), очень похожий
BABBLING BROOK;болтунья, сплетница.
BABE IN THE WOODS;как ребенок, словно с Луны свалившись, т.е. совсем не знать, что делать, оказаться в незнакомой обстановке:
BABYSITTER;"baby-sitter, или просто sitter,""сиделка"" (нарк.)тот, кто бдит в то время как основная тусовка ловит кайф от химии (чтобы вдруг чего не вышло...)"
BACK OF BEYOND;очень далеко
BACK OUT;"v. не сдержать обещание, ""делать западло"""
BACK TO THE WALL;в западне, без выхода:
BACK UP;1. двигаться назад, возвращаться: 2. помогать, поддерживать или собираться это сделать: 3. подстраховывать (в игре): 4.п. Вспомогательный
BACKBITING;критиковать, плохо отзываться о ком-либо за его спиной
BACKHANDER;взятка
BACKPEDAL;менять образ действия, решения на противоположные
CABBAGE;(n.) деньги
CALL BACK;перезвонить (по телефону):
CALL DOWN;"бранить, ""вставлять"":"
CALL GIRL;"проститутка, та, которую можно вызвать по телефону, ""девушка по вызову""."
CALL IT A DAY;(v.phr.) сделать перерыв
CALL OFF;отменять, останавливать:
CALL ON;call on/upon
CALL SOMEONE NAMES;обзывать
CALL SOMEONE TO ACCOUNT;призвать к ответу, требовать объяснения каких-либо действий особенно если они были неправильными
CALL UP;1. напоминать: 2. вызывать, приглашать: 3. призывать, мобилизовывать, собирать (силы): 4. просто позвонить по телефону: -
DAMN;[damn it](interj.) проклятие, o черт побери...
DAMN ALL;вообще ничего
DANCE ATTENDANCE ON SOMEONE;исполнять все желания и прихоти кого-либо
DARE SAY;полагать, думать, верить, предполагать. Обычно употребляется только от первого лица:
DARK HORSE;темная личность
DARN;проклЯтый (это слово встречается реже).
DEAD;сильная степень акцентации
DEAD CERTAINTY;полная, абсолютная уверенность.
DEAD DRUNK;(adj.phr.) пьян в стельку
DEAD DUCK;"дохлой уткой американцы называют наш ""дохлый номер"", т.е. человека или какое-либо дело, находящееся в безнадежной ситуации:"
EACH WAY;"см. ""AC/DC""."
EAGER BEAVER;(n.phr.) крайне прилежный работник, стремящийся произвести впечатление на начальство
EAR TO THE GROUND;"их ""ухо к земле"" - это наш ""нос по ветру""."
EARLY BIRD GETE THE WORM;"их ""ранняя птичка находит червячка"" - это наше ""кто рано встает, тому Бог дает""."
EARN ONE'S WINGS;(v.phr) быть компетентным и надежным
EASE OFF;успокаиваться, расслабляться, не нервничать, отпускать, облегчать что-либо:
EASE UP;(v.phr.) замедлить
EASY COME, EASY GO;Бог дал, Бог взял: - Easy come easy go.- Легко пришло, легкоушло (Бог дал. Бог взял).-машет рукой Джон, когда они с Миком,- опомнясь, увидели, что просадили в баре все 25 долларов, что неожиданно для самих себя заработали тремя часами раньше на аттракционе, где Мик получил первый приз за три метких выстрела из арбалета (интересно, Мик думал так же или нет?).
EASY DIG;тот или та, кто любит заниматься сексом и легко идет на такого рода контакт:
EASY DOES IT;осторожно, аккуратно:
FAB;"сокращенно от ""fabulous"" - легендарный, мифический, великолепный:"
FACE THE MUSIC;расхлебывать дело
FACE UP TO;смотреть в лицо невзгодам, мужественно принимать то, что, может, и не совсем приятно:
FACE VALUE;"нарицательная стоимость;2.видимая ценность"
FAG;fag, faggot, faggy
FAG HAG;транссексуалка
FAGGOT;"""голубой"" в одном из вариантов ""money for nothing"" это слово мелькает, а в прочих - нет... Видимо может использоваться не столько чисто функционально, как"
FAIR;"1. честный, справедливый: - It's not fair! 2. красивый, привлекательный: 3. чистый; 4. спокойный: Лге sea was light blue andfair. 5. светлый (о волосах), русый (а вовсе не ""light brown"", как в русско-английском сло"
FAIR AND SQUARE;прямо, точно
FAIR DO'S;fair do's/fair's fair
G.I.;"рядовой U.S.Armed Force (сокращение от ""Government Issue"" — государственный выпендрежник — так американский народ прозвал своих солдат)."
GAGA;"1) ошарашенный, ошеломленный; 2) эксцентричный, ""с приветом""."
GAGA;"adj. тупой, идиотический: А II we hear is Radio Gaga... - Все, что мы слышим,- это ""Радио ""Туфта"",- поет ""Queen"" в песне ""Radio Gaga"", имея в виду ту лапшу, что вешают нам на уши все эти обозреватели, ведущие и ди-джей, вставляя между хорошими песнями свои глупые комментарии, забавляясь со слушателями, словно с детьми (отсюда и происходят ""гага"" и ""гуга""). ""But some one still loves you. - Но, тем не менее, кто-п ю все еще тебя любит "", - поют далее ""куины "". Значит, не всех раздражает та туфта, та ""гага "", которую мы слышим по радио..."
GAIN CLOUT;(v.phr.) усилить влияние
GANZL;gosling
GARBAGE;"(n.) хлам;негодная вещь"
GARBAGE DOWN;жрать, пожирать, чавкать, как свинья, уплетать:
GAY;"первоначальное словарное значение (веселый, радостный; беззаботный, беспечный)давным-давно устарело. Нынче это ""гей"" (""голубой"")"
GEAR UP;(v.phr.) готовиться
GEE;Gee!
HACK AROUND;(v.phr.) бездельничать,лодырничать
HAIRY;трудный, заморочистый
HAMED UP;"(v.phr.) преувеличивать;утрировать"
HANDS DOWN;"(adv.phr.) легкий;без труда"
HANG AROUND;слоняться (без дела):
HANKY PANKY;(n.) надувательство,жульничество
HARD UP;"(adj.phr.) стесненный в деньгах;не при деньгах"
HARDBALL;(n.) нешуточное дело
HASH OVER;"(v.phr.) поговорить;вспоминать"
HASH UP;(v.phr.) напортить
I AM MAINLY INTERESTED IN;я глвным образом заинтересован...
I AM WELL AWARE OF;я отдаю себе полный отчет в ...
I CAN LIVE WITH IT;для меня это приемлимо
I CAN'T MAKE IT OUT;я этого не понимаю
I DID IT OF MY OWN ACCORD;я это сделал по моему собственноиу желанию
I WON'T DENY THAT;я не стану это отрицать
I WOULDN'T KNOW;Откуда мне знать?
I'LL BET YOU MY BOTTOM DOLLAR INFORMAL;"то же, что и ""you bet a sweet as on..."", т.е. ""быть уверенным на все сто"":"
I'M FULL;я наелся до отвала. Это, собственно, не столько слэнг, сколько, разговорный оборот
ICE;"так иногда называют ""брюлики"", ювелирные изделия."
JACK CANUCK;прозвище канадца
JACK FROST;Дед Мороз
JACK HORNER;самодовольный мальчик
JACK IN THE OFFICE;чинуша, бюрократ
JACK JOHNSON;тяжелый снаряд
JACK OF ALL SIDES;тот кто служит и нашим и вашим
JACK OF ALL TRADES;на все руки мастер, универсал: -
JACK SPRAT;карлик
JACK UP;"1. поднять (домкратом): - Jack up the car! We gotta fix a flat tire! - Подними домкратом машину! Надо заменить колес. шина сдулась! - выталкивает из машины комиссар Ле Пешен сержанта Холдуина; 2. поднять (цены): - Slut! They jacked up the prise"
JAILBAIT;л. несовершеннолетняя, малолетка (за связь с которой можно залететь в тюрьму).
KEEP A LOW PROFILE;(v.phr.) держаться в тени
KEEP AN EYE ON;"(v.phr.) смотреть за;следить"
KEEP AN EYE OUT;"(v.phr.) следить за;быть на чеку"
KEEP AT IT;продолжать делать что-либо, работать над чем-либо до успешного завершения
KEEP IN THE DARK;(v.phr.) держать в неведении
